Prime Factorization of:
2: (2^1)
3: (3^1)
4: (2^2)
5: (5^1)
6: (2^1)(3^1)
7: (7^1)
8: (2^3)
9: (3^2)
10: (2^1)(5^1)
11: (11^1)
12: (2^2)(3^1)
13: (13^1)
14: (2^1)(7^1)
15: (3^1)(5^1)
16: (2^4)
17: (17^1)
18: (2^1)(3^2)
19: (19^1)
20: (2^2)(5^1)
21: (3^1)(7^1)
22: (2^1)(11^1)
23: (23^1)
24: (2^3)(3^1)
25: (5^2)
26: (2^1)(13^1)
27: (3^3)
28: (2^2)(7^1)
29: (29^1)
30: (2^1)(3^1)(5^1)
31: (31^1)
32: (2^5)
33: (3^1)(11^1)
34: (2^1)(17^1)
35: (5^1)(7^1)
36: (2^2)(3^2)
37: (37^1)
38: (2^1)(19^1)
39: (3^1)(13^1)
40: (2^3)(5^1)
41: (41^1)
42: (2^1)(3^1)(7^1)
43: (43^1)
44: (2^2)(11^1)
45: (3^2)(5^1)
46: (2^1)(23^1)
47: (47^1)
48: (2^4)(3^1)
49: (7^2)
50: (2^1)(5^2)
51: (3^1)(17^1)
52: (2^2)(13^1)
53: (53^1)
54: (2^1)(3^3)
55: (5^1)(11^1)
56: (2^3)(7^1)
57: (3^1)(19^1)
58: (2^1)(29^1)
59: (59^1)
60: (2^2)(3^1)(5^1)
61: (61^1)
62: (2^1)(31^1)
63: (3^2)(7^1)
64: (2^6)
65: (5^1)(13^1)
66: (2^1)(3^1)(11^1)
67: (67^1)
68: (2^2)(17^1)
69: (3^1)(23^1)
70: (2^1)(5^1)(7^1)
71: (71^1)
72: (2^3)(3^2)
73: (73^1)
74: (2^1)(37^1)
75: (3^1)(5^2)
76: (2^2)(19^1)
77: (7^1)(11^1)
78: (2^1)(3^1)(13^1)
79: (79^1)
80: (2^4)(5^1)
81: (3^4)
82: (2^1)(41^1)
83: (83^1)
84: (2^2)(3^1)(7^1)
85: (5^1)(17^1)
86: (2^1)(43^1)
87: (3^1)(29^1)
88: (2^3)(11^1)
89: (89^1)
90: (2^1)(3^2)(5^1)
91: (7^1)(13^1)
92: (2^2)(23^1)
93: (3^1)(31^1)
94: (2^1)(47^1)
95: (5^1)(19^1)
96: (2^5)(3^1)
97: (97^1)
98: (2^1)(7^2)
99: (3^2)(11^1)
100: (2^2)(5^2)
101: (101^1)
102: (2^1)(3^1)(17^1)
103: (103^1)
104: (2^3)(13^1)
105: (3^1)(5^1)(7^1)
106: (2^1)(53^1)
107: (107^1)
108: (2^2)(3^3)
109: (109^1)
110: (2^1)(5^1)(11^1)
111: (3^1)(37^1)
112: (2^4)(7^1)
113: (113^1)
114: (2^1)(3^1)(19^1)
115: (5^1)(23^1)
116: (2^2)(29^1)
117: (3^2)(13^1)
118: (2^1)(59^1)
119: (7^1)(17^1)
120: (2^3)(3^1)(5^1)
121: (11^2)
122: (2^1)(61^1)
123: (3^1)(41^1)
124: (2^2)(31^1)
125: (5^3)
126: (2^1)(3^2)(7^1)
127: (127^1)
128: (2^7)
129: (3^1)(43^1)
130: (2^1)(5^1)(13^1)
131: (131^1)
132: (2^2)(3^1)(11^1)
133: (7^1)(19^1)
134: (2^1)(67^1)
135: (3^3)(5^1)
136: (2^3)(17^1)
137: (137^1)
138: (2^1)(3^1)(23^1)
139: (139^1)
140: (2^2)(5^1)(7^1)
